index,permno,PERMCO,HSHRCD,DLSTCD,HTICK,HCOMNAM,HTSYMBOL,HNAICS,HPRIMEXC,HTRDSTAT,HSECSTAT,COMPNO,ISSUNO,HEXCD,HSICCD,NUMNAM,NUMSHR,NUMDEL,NUMNDI,BEGDAT,ENDDAT,BEGPRC,ENDPRC,BEGRET,ENDRET,MKTCAPDAY0
13,11533,9360,11,100,FICO,FAIR ISAAC CORP,FICO,561499,N,A,R,60009304,12449,1,7389,13,395,1,47,7/22/1987,12/31/2024,7/22/1987,12/31/2024,7/22/1987,12/31/2024,3718179.97
80,15850,55487,11,100,MTCH,MATCH GROUP INC NEW,MTCH,561499,Q,A,R,60011790,81645,3,9999,6,88,1,236,11/19/2015,12/31/2024,11/19/2015,12/31/2024,11/19/2015,12/31/2024,793662.01
426,86783,16454,11,100,BKNG,BOOKING HOLDINGS INC,BKNG,561510,Q,A,R,60016867,22700,3,7389,8,222,1,2005,3/30/1999,12/31/2024,3/30/1999,12/31/2024,3/30/1999,12/31/2024,72678710.7
490,90808,47013,11,100,EXPE,EXPEDIA GROUP INC,EXPE,561510,Q,A,R,60059136,48781,3,4833,8,187,1,994,8/9/2005,12/31/2024,8/9/2005,12/31/2024,8/9/2005,12/31/2024,15430366.08
37,13168,53964,11,100,TRIP,TRIPADVISOR INC,TRIP,561510,Q,A,R,60071646,69412,3,9999,2,118,1,508,12/21/2011,12/31/2024,12/21/2011,12/31/2024,12/21/2011,12/31/2024,6238585.61
178,36003,21530,11,100,ROL,ROLLINS INC,ROL,561710,N,A,R,0,0,1,7342,6,455,1,0,7/2/1962,12/31/2024,7/2/1962,12/31/2024,7/2/1962,12/31/2024,7295126.7
19,11955,9804,11,100,WM,WASTE MANAGEMENT INC DEL,WM,562219,N,A,R,60009739,13069,1,4953,7,401,1,133,6/3/1988,12/31/2024,6/3/1988,12/31/2024,6/3/1988,12/31/2024,31170051.56
422,86228,34838,11,100,RSG,REPUBLIC SERVICES INC,RSG,562219,N,A,R,0,0,1,4953,3,323,1,0,7/1/1998,12/31/2024,7/1/1998,12/31/2024,7/1/1998,12/31/2024,19333638.94
239,53225,21888,11,100,GHC,GRAHAM HOLDINGS CO,GHC,611699,N,A,R,0,0,1,8299,8,427,1,0,9/15/1971,12/31/2024,9/15/1971,12/31/2024,9/15/1971,12/31/2024,2434739.907
326,76708,10992,11,100,ATGE,ADTALEM GLOBAL EDUCATION INC,ATGE,611699,N,A,R,60010899,14907,1,8299,11,381,1,53,6/21/1991,12/31/2024,6/21/1991,12/31/2024,6/21/1991,12/31/2024,1963231.05
473,89781,44184,11,100,MOH,MOLINA HEALTHCARE INC,MOH,621111,N,A,R,0,0,1,8011,4,262,1,0,7/2/2003,12/31/2024,7/2/2003,12/31/2024,7/2/2003,12/31/2024,3045037.39
378,82307,30975,11,100,DVA,DAVITA INC,DVA,621492,N,A,R,0,0,1,8092,9,364,1,0,10/31/1995,12/31/2024,10/31/1995,12/31/2024,10/31/1995,12/31/2024,13068640.02
396,84373,31838,11,100,DGX,QUEST DIAGNOSTICS INC,DGX,621511,N,A,R,0,0,1,8071,3,343,1,0,1/14/1997,12/31/2024,1/14/1997,12/31/2024,1/14/1997,12/31/2024,12817268
23,12062,9848,11,100,LH,LABCORP HOLDINGS INC,LH,621511,N,A,R,60009782,13132,1,8071,10,406,1,52,7/7/1988,12/31/2024,7/7/1988,12/31/2024,7/7/1988,12/31/2024,11301381.86
32,12622,53696,11,100,HCA,H C A HEALTHCARE INC,HCA,622110,N,A,R,0,0,1,8062,4,170,1,0,3/10/2011,12/31/2024,3/10/2011,12/31/2024,3/10/2011,12/31/2024,27899119.56
354,79637,4655,11,100,UHS,UNIVERSAL HEALTH SERVICES INC,UHS,622110,N,A,R,60004654,5900,1,8062,5,433,1,257,7/9/1981,12/31/2024,7/9/1981,12/31/2024,7/9/1981,12/31/2024,9568578.99
233,52337,21258,11,100,THC,TENET HEALTHCARE CORP,THC,622110,N,A,R,0,0,1,8062,8,459,1,0,4/28/1971,12/31/2024,4/28/1971,12/31/2024,4/28/1971,12/31/2024,1534394.4
5,10693,8596,11,100,EHC,ENCOMPASS HEALTH CORP,EHC,622310,N,A,R,60008546,11349,1,8069,9,373,1,88,9/24/1986,12/31/2024,9/24/1986,12/31/2024,9/24/1986,12/31/2024,3002085.982
67,14882,55000,11,100,CZR,CAESARS ENTERTAINMENT INC DE,CZR,711219,Q,A,R,2003912,74191,3,9999,4,94,1,291,9/22/2014,12/31/2024,9/22/2014,12/31/2024,9/22/2014,12/31/2024,803157.3
149,26403,20587,11,100,DIS,DISNEY WALT CO,DIS,713110,N,A,R,0,0,1,7996,13,486,1,0,11/12/1957,12/31/2024,11/12/1957,12/31/2024,11/12/1957,12/31/2024,168822182.9
485,90505,46024,11,100,LVS,LAS VEGAS SANDS CORP,LVS,721110,N,A,R,0,0,1,7011,4,244,1,0,12/15/2004,12/31/2024,12/15/2004,12/31/2024,12/15/2004,12/31/2024,42386364.02
415,85913,30005,11,100,MAR,MARRIOTT INTERNATIONAL INC NEW,MAR,721110,Q,A,R,60019286,25894,3,7011,4,297,1,294,3/30/1998,12/31/2024,3/30/1998,12/31/2024,3/30/1998,12/31/2024,31643782.5
58,14338,54672,11,100,HLT,HILTON WORLDWIDE HOLDINGS INC,HLT,721110,N,A,R,0,0,1,7011,2,135,1,0,12/12/2013,12/31/2024,12/12/2013,12/31/2024,12/12/2013,12/31/2024,18787104.01
18,11891,9764,11,100,MGM,M G M RESORTS INTERNATIONAL,MGM,721110,N,A,R,60009700,13015,1,7011,10,408,1,24,5/2/1988,12/31/2024,5/2/1988,12/31/2024,5/2/1988,12/31/2024,16902859.16
471,89533,43620,11,100,WYNN,WYNN RESORTS LTD,WYNN,721110,Q,A,R,60053039,39178,3,7990,4,211,1,1321,10/25/2002,12/31/2024,10/25/2002,12/31/2024,10/25/2002,12/31/2024,8903340.54
367,80563,13115,11,100,PENN,PENN ENTERTAINMENT INC,PENN,721110,Q,A,R,60012982,17724,3,7948,5,261,1,1872,5/26/1994,12/31/2024,5/26/1994,12/31/2024,5/26/1994,12/31/2024,1284820.2
200,43449,21177,11,100,MCD,MCDONALDS CORP,MCD,722511,N,A,R,0,0,1,5812,6,466,1,0,7/5/1966,12/31/2024,7/5/1966,12/31/2024,7/5/1966,12/31/2024,99337711.28
343,77702,11592,11,100,SBUX,STARBUCKS CORP,SBUX,722511,Q,A,R,60011489,15722,3,5810,5,266,1,2186,6/26/1992,12/31/2024,6/26/1992,12/31/2024,6/26/1992,12/31/2024,80656020
407,85348,32093,11,100,YUM,YUM BRANDS INC,YUM,722511,N,A,R,0,0,1,5812,6,336,1,0,10/7/1997,12/31/2024,10/7/1997,12/31/2024,10/7/1997,12/31/2024,23198449.26
496,91068,50184,11,100,CMG,CHIPOTLE MEXICAN GRILL INC,CMG,722511,N,A,R,0,0,1,5812,4,234,1,0,1/26/2006,12/31/2024,1/26/2006,12/31/2024,1/26/2006,12/31/2024,10849216.44
373,81655,30886,11,100,DRI,DARDEN RESTAURANTS INC,DRI,722511,N,A,R,0,0,1,5812,4,362,1,0,5/30/1995,12/31/2024,5/30/1995,12/31/2024,5/30/1995,12/31/2024,8869216.86
229,51625,21599,11,100,SCI,SERVICE CORP INTERNATIONAL,SCI,812210,N,A,R,0,0,1,7261,7,446,1,0,12/7/1970,12/31/2024,12/7/1970,12/31/2024,12/7/1970,12/31/2024,5487988.09
464,89244,42430,11,100,WW,W W INTERNATIONAL INC,WW,812990,Q,A,R,60050560,35763,3,7299,9,267,1,137,11/15/2001,12/31/2024,11/15/2001,12/31/2024,11/15/2001,12/31/2024,707746.08
